material_ID,material_name,material_vendor,material_category,LCA_source,LCA_ID,LCA_source_URL,density (kg/m3),GHG emissions Total (kg),GHG emissions production (kg),GHG emissions disposal (kg)
SPAG-300529-10.009,GUTEX Thermofloor (20-30mm),,,KBOB,10.009,,160,0.7266,0.634,0.0926
SPAG-300568-10.009,STEICOflex (20-240mm),,,KBOB,10.009,,50,0.7266,0.634,0.0926
SPAG-300570-10.009,"STEICOuniversal, STEICOprotect H (18-60mm)",,,KBOB,10.009,,270,0.7266,0.634,0.0926
SPAG-300582-10.01,"Zellulose: Platten, Matten; nicht überwacht",,,KBOB,10.01,,80,0.2815,0.21,0.0715
SPAG-300583-10.01,flexCL (40-180mm),,,KBOB,10.01,,75,0.2815,0.21,0.0715
SPAG-300584-10.01,Zellulose: lose; nicht überwacht,,,KBOB,10.01,,70,0.2815,0.21,0.0715
SPAG-300586-10.01,Isocell,,,KBOB,10.01,,65,0.2815,0.21,0.0715
SPAG-300587-10.01,trendisol,,,KBOB,10.01,,65,0.2815,0.21,0.0715
SPAG-300588-10.01,Dobry-Ekovilla,,,KBOB,10.01,,65,0.2815,0.21,0.0715
SPAG-300589-10.01,Pavafloc,,,KBOB,10.01,,65,0.2815,0.21,0.0715
SPAG-300592-10.016,"Flachs: Matten, Rollen; nicht überwacht",,,KBOB,10.016,,50,1.015,0.78,0.235
SPAG-300593-10.016,"Gras: Matten, lose; nicht überwacht",,,KBOB,10.016,,80,1.015,0.78,0.235
SPAG-300594-10.016,"Hanf: Matten, Rollen; nicht überwacht",,,KBOB,10.016,,50,1.015,0.78,0.235
SPAG-300595-10.016,"Baumwolle: Matten, Rollen; nicht überwacht",,,KBOB,10.016,,60,1.015,0.78,0.235
SPAG-300599-10.016,"Schafwolle: Matten, Rollen; nicht überwacht",,,KBOB,10.016,,60,1.015,0.78,0.235
SPAG-300619-10.008,Tektalan A2-E31-035/2 (Kern) (40-165mm),,,KBOB,10.008,,120,1.1896,1.13,0.0596
SPAG-300621-10.008,Tektalan A2-035/2 (1.0) (Kern) (40-165mm),,,KBOB,10.008,,120,1.1896,1.13,0.0596
SPAG-300623-10.008,Tektalan A2-SD (Kern) (40-240mm),,,KBOB,10.008,,130,1.1896,1.13,0.0596
SPAG-300625-10.008,Tektalan A2-E21 (Kern) (25-165mm),,,KBOB,10.008,,130,1.1896,1.13,0.0596
